name,bus0,bus1,length,num_parallel,s_nom,s_max_pu
1,0,13,189.13948406530034,4.0,4413.2654576899995,1.0
2,0,5,224.61762079747572,2.0,3422.53239576,1.0
3,0,7,158.96131093284762,5.5,8196.064421424,1.0
4,0,9,149.23199348412226,5.25,7768.2478719519995,1.0
5,1,10,80.36849628344616,18.0,21075.594226517995,1.0000000000000002
6,1,5,158.43471798100492,4.0,6845.06479152,1.0
7,1,6,138.81836850585765,10.0,12249.06331114,0.9999999999999998
8,1,9,265.9040888482275,1.0,1711.26619788,1.0
9,10,4,166.65877140708633,4.0,6845.06479152,1.0
10,11,2,192.70261886966827,1.75,1778.816179375,1.0
11,11,7,172.1717116605264,10.25,17540.47852827,0.9999999999999999
12,12,2,187.89585729501778,2.0,3422.53239576,1.0
13,12,5,230.52937153480198,2.0,3422.53239576,1.0
14,12,6,148.82984549439524,2.0,3422.532395756,1.0
15,13,7,277.535532829107,1.75,2386.766012831,1.0
16,13,8,148.10803908997795,4.0,4413.265457689,1.0
17,2,7,301.7341561471049,3.75,3985.44890822,1.0
18,3,8,166.76695128529866,1.5,1350.999629904,1.0
19,3,9,181.89154518169707,6.5,7475.531285472999,1.0
20,4,9,150.21590394597374,3.5,5989.431692579,1.0
21,5,6,149.12216006266542,6.0,6619.898186534999,1.0000000000000002
22,5,7,172.04903676448498,6.0,6011.948353075,0.9999999999999999
23,5,9,291.5686040861052,2.0,3422.53239576,1.0
24,8,9,190.1938868918855,6.0,7835.797853448999,1.0
