name,bus
1,5
3,5
4,6
6,5
7,5
8,12
9,12
11,11
14,13
16,5
17,11
19,8
21,12
23,12
25,12
27,12
28,12
29,5
31,5
33,5
34,6
35,6
36,6
38,11
39,2
40,2
41,2
43,11
44,11
45,11
47,11
48,11
49,5
50,5
51,5
53,3
54,9
55,9
57,9
58,9
59,6
60,6
62,6
63,3
64,13
65,7
66,13
67,6
70,9
71,7
72,7
73,11
75,7
76,1
77,5
79,11
80,11
81,11
82,6
83,12
84,12
85,1
88,10
89,10
90,1
91,1
92,1
93,1
97,13
98,2
101,2
102,2
103,10
108,10
109,1
110,1
111,1
112,1
113,10
114,1
115,10
116,10
118,10
119,10
121,10
122,10
126,10
127,10
130,10
131,10
132,10
133,10
134,10
135,1
136,1
137,10
139,10
140,1
141,1
142,10
144,10
145,10
146,10
147,1
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,1
158,10
161,6
162,10
163,10
164,1
166,1
167,1
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,2
178,1
179,11
180,11
181,11
182,11
183,12
185,10
186,10
187,10
188,10
189,3
190,3
192,2
193,10
194,10
196,10
197,10
198,1
199,1
200,10
202,1
203,10
204,1
205,1
206,10
207,1
208,1
209,6
210,5
211,4
212,4
213,9
214,9
215,9
216,9
217,2
218,2
219,6
221,6
222,6
223,9
224,9
225,9
226,5
227,8
228,9
229,9
230,8
234,3
235,3
237,4
238,4
239,4
240,9
241,9
242,9
245,9
246,9
249,1
253,1
254,9
255,4
256,4
257,9
258,5
259,5
260,9
262,8
265,1
266,13
268,1
269,1
270,6
271,6
273,12
274,12
275,4
276,4
277,6
278,7
280,11
283,9
284,9
285,6
286,5
287,1
288,3
289,1
290,11
291,11
293,7
294,0
295,5
296,6
297,5
298,5
299,5
300,6
301,5
302,5
304,0
305,9
306,9
309,9
310,9
311,9
313,7
314,8
316,8
318,8
319,8
320,9
321,3
323,7
324,11
325,11
326,11
327,7
328,13
329,13
330,13
331,13
333,12
335,0
337,13
339,9
340,7
341,7
342,5
343,0
344,7
345,7
346,11
347,11
348,11
349,13
350,0
352,13
354,13
355,4
356,4
357,4
358,4
359,4
361,4
363,1
364,10
365,11
366,9
367,9
368,3
369,12
370,4
371,4
372,4
373,13
374,1
375,9
376,6
377,8
378,9
379,9
380,5
381,9
383,0
386,6
387,6
388,6
389,9
390,0
392,10
393,8
394,8
395,8
396,8
397,9
398,12
399,9
400,6
401,12
402,12
405,3
406,3
409,9
410,8
411,1
412,12
414,12
415,12
416,3
417,13
418,13
422,9
423,3
424,9
425,5
426,5
427,9
428,11
429,10
430,10
431,10
432,8
433,8
434,8
435,11
436,3
437,3
438,9
439,9
440,12
441,7
442,7
443,6
444,6
445,1
446,2
447,2
448,1
449,10
451,1
452,4
453,4
454,10
455,10
456,10
457,10
459,10
460,10
461,1
462,1
463,10
464,10
465,10
466,10
467,10
468,10
469,10
470,1
471,10
472,1
473,1
474,6
475,6
476,1
477,1
478,1
479,5
480,5
481,5
482,5
483,8
484,8
485,8
486,8
487,8
488,9
489,5
490,5
491,8
492,9
493,9
494,9
495,12
2_220kV,6
5_220kV,5
10_220kV,11
12_220kV,11
13_220kV,13
15_220kV,13
18_220kV,2
20_220kV,12
22_220kV,12
24_220kV,12
26_220kV,12
30_220kV,12
32_220kV,7
37_220kV,7
42_220kV,2
46_220kV,11
52_220kV,9
56_220kV,9
61_220kV,6
68_220kV,9
69_220kV,9
74_220kV,11
78_220kV,7
86_220kV,1
87_220kV,10
94_220kV,6
95_220kV,1
96_220kV,1
99_220kV,4
100_220kV,4
104_220kV,10
105_220kV,10
106_220kV,10
107_220kV,10
117_220kV,10
120_220kV,1
123_220kV,10
124_220kV,10
125_220kV,10
128_220kV,4
129_220kV,10
138_220kV,10
143_220kV,1
156_220kV,10
157_220kV,1
159_220kV,6
160_220kV,6
165_220kV,1
184_220kV,10
191_220kV,10
195_220kV,10
201_220kV,6
220_220kV,6
231_220kV,3
232_220kV,8
233_220kV,8
236_220kV,9
247_220kV,8
248_220kV,1
250_220kV,1
251_220kV,1
252_220kV,1
261_220kV,9
263_220kV,8
264_220kV,8
267_220kV,10
272_220kV,12
279_220kV,7
281_220kV,7
282_220kV,7
292_220kV,7
303_220kV,5
307_220kV,9
308_220kV,0
312_220kV,8
315_220kV,8
317_220kV,8
322_220kV,3
332_220kV,13
334_220kV,0
336_220kV,7
338_220kV,13
351_220kV,13
353_220kV,13
360_220kV,4
362_220kV,3
382_220kV,0
384_220kV,0
385_220kV,9
391_220kV,9
403_220kV,3
404_220kV,3
413_220kV,9
421_220kV,9
450_220kV,1
458_220kV,1
