name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch
100_220kV Pumped Hydro,4,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
114 Pumped Hydro,1,138.0,Pumped Hydro,3.0,6.0,0.95,0.95
121 Pumped Hydro,10,238.0,Pumped Hydro,3.0,6.0,0.95,0.95
140 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
141 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
158 Pumped Hydro,10,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
166 Pumped Hydro,1,1.5,Pumped Hydro,3.0,6.0,0.95,0.95
205 Pumped Hydro,1,153.0,Pumped Hydro,3.0,6.0,0.95,0.95
228 Pumped Hydro,9,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
235 Pumped Hydro,3,470.0,Pumped Hydro,3.0,6.0,0.95,0.95
25 Pumped Hydro,12,196.0,Pumped Hydro,3.0,6.0,0.95,0.95
266 Pumped Hydro,13,98.8,Pumped Hydro,3.0,6.0,0.95,0.95
268 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
279_220kV Pumped Hydro,7,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95
293 Pumped Hydro,7,377.6,Pumped Hydro,3.0,6.0,0.95,0.95
320 Pumped Hydro,9,90.0,Pumped Hydro,3.0,6.0,0.95,0.95
32_220kV Pumped Hydro,7,220.0,Pumped Hydro,3.0,6.0,0.95,0.95
333 Pumped Hydro,12,525.0,Pumped Hydro,3.0,6.0,0.95,0.95
342 Pumped Hydro,5,79.7,Pumped Hydro,3.0,6.0,0.95,0.95
343 Pumped Hydro,0,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95
362_220kV Pumped Hydro,3,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
368 Pumped Hydro,3,910.0,Pumped Hydro,3.0,6.0,0.95,0.95
374 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
379 Pumped Hydro,9,39.8,Pumped Hydro,3.0,6.0,0.95,0.95
389 Pumped Hydro,9,164.0,Pumped Hydro,3.0,6.0,0.95,0.95
397 Pumped Hydro,9,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
423 Pumped Hydro,3,360.0,Pumped Hydro,3.0,6.0,0.95,0.95
424 Pumped Hydro,9,295.0,Pumped Hydro,3.0,6.0,0.95,0.95
479 Pumped Hydro,5,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
481 Pumped Hydro,5,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
493 Pumped Hydro,9,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
51 Pumped Hydro,5,623.0,Pumped Hydro,3.0,6.0,0.95,0.95
63 Pumped Hydro,3,43.0,Pumped Hydro,3.0,6.0,0.95,0.95
66 Pumped Hydro,13,127.0,Pumped Hydro,3.0,6.0,0.95,0.95
72 Pumped Hydro,7,198.0,Pumped Hydro,3.0,6.0,0.95,0.95
78_220kV Pumped Hydro,7,79.8,Pumped Hydro,3.0,6.0,0.95,0.95
8 Pumped Hydro,12,119.1,Pumped Hydro,3.0,6.0,0.95,0.95
98 Pumped Hydro,2,247.0,Pumped Hydro,3.0,6.0,0.95,0.95
